name
1.5 Side Lateral Raise
Abduction Rows
Angels & Devils
Barbell Curl
Barbell Hip Thrusts
Barbell Row
Barbell Shrug
Barbell Skullcrusher
Barbell Squat
Barbell Squats
Barbell Tricep Extensions
Bench Dips
Bent Knee Calf Raises
Cable Crossover
Cable Crunch
Cable Curl
Cable Face Pull
Cable Kickbacks
Cable Lateral Raise
Cable Machine Reverse Curl
Cable Overhead Triceps Extension
Cable Pullover
Chest Press
Chest Supported Dumbbell Rows
Chest Supported Row
Chin Up
Close Grip Barbell Bench Press
Close Grip Bicep Curl
Crunch Machine
Deadlift
Decline Barbell Bench Press
Decline Crunch
Decline Dumbbell Bench Press
Dips
Double Cable Fly
Dumbbell Concentration Curl
Dumbbell Curl
Dumbbell Double Armsupine Grip Row
Dumbbell Goblet Squats
Dumbbell Hammer Curl
Dumbbell Hex Press
Dumbbell Overhead Alternating Forward Lunge
Dumbbell Preacher Curl
Dumbbell Shoulder Press
Dumbbell Shrugs
Dumbbell Side Lateral Raise
Dumbbell Squats
Dumbbell Tricep Kickback
Dumbell Alternate Reverse Lunges
Dumbell Floor Flys
Dumbell Gorilla Row
Dumbell High Pull
Dumbell Pullover
Dumbell Seated Calf Raises
Dumbell Shoulder Press
Dumbell Underhead Bench Press
Dumbell Waiter Curls
EZ-Bar Curl
Flat Barbell Bench Press
Flat Dumbbell Bench Press
Flat Dumbbell Fly
Front Dumbbell Raise
Hammer Curls
Hanging Leg Raise
Hanging Leg Raises
Hi-to-Low Crossover
Hip Huggers
Incline Barbell Bench Press
Incline Cable Fly
Incline Chest Press Machine
Incline Crush Dumbbell Press
Incline Dumbbell Bench Press
Incline Dumbbell Fly
Incline Dumbbell Press
Incline Dumbell Bench Press
Isometric Holds
Landmine Chest Press
Lat Pulldown
Leaning Dumbbell Curls
Leg Extension Machine
Leg Extension Machine (Single leg)
Leg Press
Lying Leg Curl Machine
Lying Leg Hamstring Curl
Lying Triceps Extension
Machine Lat Pulldown
Machine Row
Omni Crossovers
Overhead Press
Pec Deck Machine
Pectoral Fly
Pull Up
Pushups
Rear Delt Fly
Rear Delt Flys
Rocking Pulldown
Romanian Deadlift
Rope Tricep Extension
Seated Cable Row
Seated Calf Raise Machine
Seated Calf Raises
Seated Incline Dumbbell Curl
Seated Leg Curl Machine
Seated Leg Curl Machine (Single leg)
Seated Leg Extension
Seated Machine Curl
Seated Machine Fly
Shoulder Press Machine
Single Arm Cable Chest Fly
Single Arm Cable Pulldown
Single Arm Cable Row
Single Arm Seated Cable Row
Single Leg Romanian Deadlifts
Slick Floor Bridge Curls
Smith Machine Barbell Bench
Snatch Grip Deadlift
Standing Calf Raise Machine
Standing Calf Raises
Standing Straight Bar Grip Cable Rows
Straight-Arm Cable Pushdown
Strict Curls
Sumo Deadlift
Tricep Press
Tricep Pushdowns
Underhand Lat Pulldown
Weighted Pull-up
